	Headline	Link
0	['Trudeau considering a statement of contrition over SNC-Lavalin']	./articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
1	['SNC-Lavalin: Did Justin Trudeau break the law?']	./articles/CBMiT2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHTSAZwBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHQvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
2	['Liberal support erodes in 2 key demographics as SNC-Lavalin affair grinds on']	./articles/CBMiZGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3RoZW5hdGlvbmFsL25hdGlvbmFsLXRvZGF5LW5ld3NsZXR0ZXItdHJ1ZGVhdS1waGlscG90dC1waWN0b3UtbWlsbC0xLjUwMzY5NzTSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwMzY5NzQ_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
3	['Liberals’ to face an ultimatum: who stays and who goes?']	./articles/CAIiEKC8EFnZsbOFGgQmmHID3AMqFggEKg4IACoGCAow6bV4MPfJDDCtvTk
4	"[""LILLEY: Trudeau\\'s security wanted rally shut down over protesters""]"	./articles/CBMiaWh0dHBzOi8vdG9yb250b3N1bi5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2xpbGxleS10cnVkZWF1cy1zZWN1cml0eS13YW50ZWQtcmFsbHktc2h1dC1kb3duLW92ZXItcHJvdGVzdGVyc9IBtAFodHRwczovL3Rvcm9udG9zdW4tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvdG9yb250b3N1bi5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2xpbGxleS10cnVkZWF1cy1zZWN1cml0eS13YW50ZWQtcmFsbHktc2h1dC1kb3duLW92ZXItcHJvdGVzdGVycy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
5	['Barack Obama speaks to Calgary crowd']	./articles/CBMiU2h0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9sb2NhbC1uZXdzL2xpdmUtYmFyYWNrLW9iYW1hLXNwZWFrcy10by1jYWxnYXJ5LWNyb3dk0gGhAWh0dHBzOi8vY2FsZ2FyeWhlcmFsZC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9jYWxnYXJ5aGVyYWxkLmNvbS9uZXdzL2xvY2FsLW5ld3MvbGl2ZS1iYXJhY2stb2JhbWEtc3BlYWtzLXRvLWNhbGdhcnktY3Jvd2QvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
6	['Barack Obama speaks to full house in Winnipeg, leaves fans inspired']	./articles/CAIiEAVKuESDVzrL6Y9sCiCR660qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
7	['Barack Obama speaks to Calgarians']	./articles/CBMiTGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2JhcmFjay1vYmFtYS1jYWxnYXJ5LXNwZWVjaC0xLjUwNDM1MTnSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDM1MTk_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
8	"[""Obama questions America\\'s ability to stave off crisis in otherwise cheery, laid back speech to Winnipeg crowd""]"	./articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tYW5pdG9iYS9iYXJhY2stb2JhbWEtc3BlZWNoLXdpbm5pcGVnLTEuNTA0Mjg3ONIBY2h0dHBzOi8vd3d3LWNiYy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jYmMuY2EvYW1wLzEuNTA0Mjg3OD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
9	['Breakenridge: What might have been if Obama had approved Keystone XL']	./articles/CBMicGh0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2JyZWFrZW5yaWRnZS13aGF0LW1pZ2h0LWhhdmUtYmVlbi1pZi1vYmFtYS1oYWQtYXBwcm92ZWQta2V5c3RvbmUteGzSAb4BaHR0cHM6Ly9jYWxnYXJ5aGVyYWxkLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2NhbGdhcnloZXJhbGQuY29tL29waW5pb24vY29sdW1uaXN0cy9icmVha2VucmlkZ2Utd2hhdC1taWdodC1oYXZlLWJlZW4taWYtb2JhbWEtaGFkLWFwcHJvdmVkLWtleXN0b25lLXhsL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
10	['OPP veteran says firing by Ford government is ‘reprisal’ for Taverner lawsuit']	./articles/CBMic2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vY2FuYWRhL2FydGljbGUtb3BwLXZldGVyYW4tc2F5cy1maXJpbmctYnktZm9yZC1nb3Zlcm5tZW50LWlzLXJlcHJpc2FsLWZvci10YXZlcm5lci_SAccBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9jYW5hZGEvYXJ0aWNsZS1vcHAtdmV0ZXJhbi1zYXlzLWZpcmluZy1ieS1mb3JkLWdvdmVybm1lbnQtaXMtcmVwcmlzYWwtZm9yLXRhdmVybmVyLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
11	"[""Jane Philpott Resignation Leaves Some Liberal MPs \\'Sad\\' But Not Surprised""]"	./articles/CAIiEPCoYDXbk87deYLEVKIK-2gqFwgEKg8IACoHCAow1qfAAjCkrz8w8NBI
12	['Most Canadians side with Wilson-Raybould, believe Trudeau has lost moral authority to govern: Ipsos poll']	./articles/CAIiEMwepAl6V_PHB5F9dN2GoE0qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
13	"[""Jane Philpott resigns from cabinet, citing loss of \\'confidence\\' over government\\'s handling of SNC-Lavalin""]"	./articles/CAIiEIzE-KmjmIcOsNxWzs6Uz00qFggEKg4IACoGCAowqKNmMKjdCjDGlx0
14	"[""If Jane Philpott doesn\\'t have confidence in Justin Trudeau, why should anyone else?: Robyn Urback""]"	./articles/CBMiPmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL29waW5pb24vcGhpbHBvdHQtcmVzaWduYXRpb24tMS41MDQyOTY10gFjaHR0cHM6Ly93d3ctY2JjLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmNiYy5jYS9hbXAvMS41MDQyOTY1P2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
15	['Rex Murphy: Drop the poses Trudeau. You owe this country a real explanation']	./articles/CBMiamh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL3JleC1tdXJwaHktZHJvcC10aGUtcG9zZXMtdHJ1ZGVhdS15b3Utb3dlLXRoaXMtY291bnRyeS1hLXJlYWwtZXhwbGFuYXRpb27SAbcBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL3JleC1tdXJwaHktZHJvcC10aGUtcG9zZXMtdHJ1ZGVhdS15b3Utb3dlLXRoaXMtY291bnRyeS1hLXJlYWwtZXhwbGFuYXRpb24vYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
16	['Toronto police say 4 children who went missing after movies have been located']	./articles/CAIiEBjdkpnNmFEpWOcTW-Z1LrEqGQgEKhAIACoHCAowqeP_CjDdg_oCMMXh6QU
17	['4 children missing after going to the movies have been located: police']	./articles/CBMiP2h0dHBzOi8vdG9yb250by5jaXR5bmV3cy5jYS8yMDE5LzAzLzA1L2NoaWxkcmVuLW1pc3NpbmctbW92aWVzL9IBjwFodHRwczovL3Rvcm9udG8tY2l0eW5ld3MtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy90b3JvbnRvLmNpdHluZXdzLmNhLzIwMTkvMDMvMDUvY2hpbGRyZW4tbWlzc2luZy1tb3ZpZXMvYW1wLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
18	['Police searching for four missing youths in Scarborough']	./articles/CBMiW2h0dHBzOi8vd3d3LmNwMjQuY29tL25ld3MvcG9saWNlLXNlYXJjaGluZy1mb3ItZm91ci1taXNzaW5nLXlvdXRocy1pbi1zY2FyYm9yb3VnaC0xLjQzMjMxMjfSAXhodHRwczovL2JldGEtY3AyNC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9iZXRhLmNwMjQuY29tL25ld3MvMjAxOS8zLzUvMV80MzIzMTI3Lmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
19	['4 children reported missing in Toronto found']	./articles/CAIiEFu46FQ8hBuV40cE05SAn2YqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
20	['4 Middle School Kids Have Gone Missing In Toronto After A Trip To The Movies']	./articles/CBMif2h0dHBzOi8vd3d3Lm5hcmNpdHkuY29tL2NhL29uL3Rvcm9udG8vbmV3cy9hLWdyb3VwLW9mLW1pZGRsZS1zY2hvb2wta2lkcy1oYXMtZ29uZS1taXNzaW5nLWluLXRvcm9udG8tYWZ0ZXItYS10cmlwLXRvLXRoZS1tb3ZpZXPSAbgBaHR0cHM6Ly93d3ctbmFyY2l0eS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cubmFyY2l0eS5jb20vYW1wL2EtZ3JvdXAtb2YtbWlkZGxlLXNjaG9vbC1raWRzLWhhcy1nb25lLW1pc3NpbmctaW4tdG9yb250by1hZnRlci1hLXRyaXAtdG8tdGhlLW1vdmllcz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
21	['Quebec woman guilty of 2nd-degree murder of 2 daughters']	./articles/CAIiEObY3uAkDHuh1bEzaxwpQqQqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
22	"[""Quebec mother found guilty of second-degree murder in daughters\\' deaths""]"	./articles/CAIiEPN7UDRB2sBQnYzA3xBV1Z8qGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
23	"[""Quebec mother Adele Sorella found guilty of second-degree murder in daughters\\' deaths""]"	./articles/CBMibmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL25ld3NhbGVydC1xdWViZWMtbW90aGVyLWZvdW5kLWd1aWx0eS1vZi1zZWNvbmQtZGVncmVlLW11cmRlci1pbi1kYXVnaHRlcnMtZGVhdGhz0gG7AWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy9uZXdzYWxlcnQtcXVlYmVjLW1vdGhlci1mb3VuZC1ndWlsdHktb2Ytc2Vjb25kLWRlZ3JlZS1tdXJkZXItaW4tZGF1Z2h0ZXJzLWRlYXRocy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
24	['Update: Adele Sorella guilty of second-degree murder in deaths of daughters']	./articles/CBMiO2h0dHBzOi8vbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2FkZWxlLXNvcmVsbGEtbXVyZGVyLXRyaWFs0gGLAWh0dHBzOi8vbW9udHJlYWxnYXpldHRlLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL21vbnRyZWFsZ2F6ZXR0ZS5jb20vbmV3cy9hZGVsZS1zb3JlbGxhLW11cmRlci10cmlhbC9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
25	['Jury finds Adele Sorella guilty of second-degree murder in deaths of young daughters']	./articles/CBMiemh0dHBzOi8vbW9udHJlYWwuY3R2bmV3cy5jYS9qdXJ5LWZpbmRzLWFkZWxlLXNvcmVsbGEtZ3VpbHR5LW9mLXNlY29uZC1kZWdyZWUtbXVyZGVyLWluLWRlYXRocy1vZi15b3VuZy1kYXVnaHRlcnMtMS40MzIxODc30gGGAWh0dHBzOi8vYmV0YS1jdHZuZXdzLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvYmV0YS5jdHZuZXdzLmNhL2xvY2FsL21vbnRyZWFsLzIwMTkvMy80LzFfNDMyMTg3Ny5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
26	['1 in 4 Canadians say SNC-Lavalin affair will influence their vote: Nanos']	./articles/CAIiEJwV30eqoeknZA1E39yLx0oqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
