	Headline	Link
0	SNC-Lavalin CEO urged Ottawa to change anti-corruption rules	https://news.google.com/articles/CBMiQWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL3NuYy1sYXZhbGluLWNlby1sZXR0ZXItMS41MDQ0Mzk10gFjaHR0cHM6Ly93d3ctY2JjLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmNiYy5jYS9hbXAvMS41MDQ0Mzk1P2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
1	Trudeau considering a statement of contrition over SNC-Lavalin	https://news.google.com/articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
2	Trudeau expected to change his tone on SNC-Lavalin affair in a statement in coming days	https://news.google.com/articles/CAIiEOq77wMF3mPAqCzkJwsIeWcqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
3	Globe editorial: A crisis of confidence now threatens his government. The PM must respond	https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9lZGl0b3JpYWxzL2FydGljbGUtZ2xvYmUtZWRpdG9yaWFsLWEtY3Jpc2lzLW9mLWNvbmZpZGVuY2Utbm93LXRocmVhdGVucy1oaXMtZ292ZXJubWVudC_SAdMBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9vcGluaW9uL2VkaXRvcmlhbHMvYXJ0aWNsZS1nbG9iZS1lZGl0b3JpYWwtYS1jcmlzaXMtb2YtY29uZmlkZW5jZS1ub3ctdGhyZWF0ZW5zLWhpcy1nb3Zlcm5tZW50Lz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
4	John Ivison: Liberals are disappointed in a leader ‘found wanting’ but Trudeau still has a way out of crisis	https://news.google.com/articles/CBMilgFodHRwczovL25hdGlvbmFscG9zdC5jb20vb3Bpbmlvbi9qb2huLWl2aXNvbi10cnVkZWF1cy1saWJlcmFscy1hcmUtZGlzYXBwb2ludGVkLWluLWEtbGVhZGVyLWZvdW5kLXdhbnRpbmctYnV0LWhlcy1zdGlsbC10aGVpci1iZXN0LXNob3QtYXQtcmUtZWxlY3Rpb27SAeMBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL2pvaG4taXZpc29uLXRydWRlYXVzLWxpYmVyYWxzLWFyZS1kaXNhcHBvaW50ZWQtaW4tYS1sZWFkZXItZm91bmQtd2FudGluZy1idXQtaGVzLXN0aWxsLXRoZWlyLWJlc3Qtc2hvdC1hdC1yZS1lbGVjdGlvbi9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
5	Braid: One party\'s creepy video is another party\'s conspiracy	https://news.google.com/articles/CBMiYmh0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9wb2xpdGljcy9icmFpZC1vbmUtcGFydHlzLWNyZWVweS12aWRlby1pcy1hbm90aGVyLXBhcnR5cy1jb25zcGlyYWN50gGwAWh0dHBzOi8vY2FsZ2FyeWhlcmFsZC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9jYWxnYXJ5aGVyYWxkLmNvbS9uZXdzL3BvbGl0aWNzL2JyYWlkLW9uZS1wYXJ0eXMtY3JlZXB5LXZpZGVvLWlzLWFub3RoZXItcGFydHlzLWNvbnNwaXJhY3kvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
6	What does an olive oil shortage in Italy mean for Canada?	https://news.google.com/articles/CAIiECsaSerkp0_pFS4PbR7_fwcqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
7	Italy could be forced to import olive oil because of extreme weather	https://news.google.com/articles/CAIiEHDAzGjC3Li8SxJvA9J8uFkqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU
8	Italy faces olive oil crisis as climate change and disease cuts harvest by a record 57%	https://news.google.com/articles/CAIiEIVdpr8lDH4wEwnepYrc6PUqFggEKg4IACoGCAowm6R6MMKqCTCfrxU
9	From the comments: \'The Liberal house is crashing down.\' Readers respond to Jane Philpott\'s resignation from cabinet	https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vcG9saXRpY3MvYXJ0aWNsZS1mcm9tLXRoZS1jb21tZW50cy10aGUtbGliZXJhbC1ob3VzZS1pcy1jcmFzaGluZy1kb3duLXJlYWRlcnMv0gEA
