,Headline,Link
0,SNC-Lavalin CEO urged Ottawa to change anti-corruption rules,https://news.google.com/articles/CBMiQWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL3NuYy1sYXZhbGluLWNlby1sZXR0ZXItMS41MDQ0Mzk10gFjaHR0cHM6Ly93d3ctY2JjLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmNiYy5jYS9hbXAvMS41MDQ0Mzk1P2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
1,Trudeau considering a statement of contrition over SNC-Lavalin,https://news.google.com/articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
2,Trudeau expected to change his tone on SNC-Lavalin affair in a statement in coming days,https://news.google.com/articles/CAIiEOq77wMF3mPAqCzkJwsIeWcqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
3,Globe editorial: A crisis of confidence now threatens his government. The PM must respond,https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9lZGl0b3JpYWxzL2FydGljbGUtZ2xvYmUtZWRpdG9yaWFsLWEtY3Jpc2lzLW9mLWNvbmZpZGVuY2Utbm93LXRocmVhdGVucy1oaXMtZ292ZXJubWVudC_SAdMBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9vcGluaW9uL2VkaXRvcmlhbHMvYXJ0aWNsZS1nbG9iZS1lZGl0b3JpYWwtYS1jcmlzaXMtb2YtY29uZmlkZW5jZS1ub3ctdGhyZWF0ZW5zLWhpcy1nb3Zlcm5tZW50Lz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
4,John Ivison: Liberals are disappointed in a leader ‘found wanting’ but Trudeau still has a way out of crisis,https://news.google.com/articles/CBMilgFodHRwczovL25hdGlvbmFscG9zdC5jb20vb3Bpbmlvbi9qb2huLWl2aXNvbi10cnVkZWF1cy1saWJlcmFscy1hcmUtZGlzYXBwb2ludGVkLWluLWEtbGVhZGVyLWZvdW5kLXdhbnRpbmctYnV0LWhlcy1zdGlsbC10aGVpci1iZXN0LXNob3QtYXQtcmUtZWxlY3Rpb27SAeMBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL2pvaG4taXZpc29uLXRydWRlYXVzLWxpYmVyYWxzLWFyZS1kaXNhcHBvaW50ZWQtaW4tYS1sZWFkZXItZm91bmQtd2FudGluZy1idXQtaGVzLXN0aWxsLXRoZWlyLWJlc3Qtc2hvdC1hdC1yZS1lbGVjdGlvbi9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
5,Braid: One party\'s creepy video is another party\'s conspiracy,https://news.google.com/articles/CBMiYmh0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9wb2xpdGljcy9icmFpZC1vbmUtcGFydHlzLWNyZWVweS12aWRlby1pcy1hbm90aGVyLXBhcnR5cy1jb25zcGlyYWN50gGwAWh0dHBzOi8vY2FsZ2FyeWhlcmFsZC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9jYWxnYXJ5aGVyYWxkLmNvbS9uZXdzL3BvbGl0aWNzL2JyYWlkLW9uZS1wYXJ0eXMtY3JlZXB5LXZpZGVvLWlzLWFub3RoZXItcGFydHlzLWNvbnNwaXJhY3kvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
6,Could the Liberal caucus turf Justin Trudeau if they wanted to? Maybe but not easily,http://news.google.com/articles/CBMid2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3BvbGl0aWNzL2NvdWxkLXRoZS1saWJlcmFsLWNhdWN1cy10dXJmLWp1c3Rpbi10cnVkZWF1LWlmLXRoZXktd2FudGVkLW1heWJlLWJ1dC1ub3QtZWFzaWx50gHEAWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy9wb2xpdGljcy9jb3VsZC10aGUtbGliZXJhbC1jYXVjdXMtdHVyZi1qdXN0aW4tdHJ1ZGVhdS1pZi10aGV5LXdhbnRlZC1tYXliZS1idXQtbm90LWVhc2lseS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
7,‘The other guys suck’ is not a campaign platform,https://news.google.com/articles/CAIiEG_w3RTfQMpFBSIYO32pCq4qGQgEKhAIACoHCAowkrSGCzDknoQDMKXUlgY
8,Why does Trudeau seem to be always caught off guard?,https://news.google.com/articles/CAIiEE-qnWHgGC7_oU-8ujH4Vo4qFggEKg4IACoGCAow6bV4MPfJDDCtvTk
9,My advice to Justin Trudeau? Wake up to what\'s happening,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9hcnRpY2xlLW15LWFkdmljZS10by1qdXN0aW4tdHJ1ZGVhdS13YWtlLXVwLXRvLXdoYXRzLWhhcHBlbmluZy_SAQA
