	Headline	Link
0	['Trudeau considering a statement of contrition over SNC-Lavalin']	./articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjDO3RQ
1	['SNC-Lavalin: Did Justin Trudeau break the law?']	./articles/CBMiT2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHTSAZwBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHQvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
2	"[""Trudeau\\'s support drops in key demographics as SNC-Lavalin affair grinds on""]"	./articles/CBMiZGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3RoZW5hdGlvbmFsL25hdGlvbmFsLXRvZGF5LW5ld3NsZXR0ZXItdHJ1ZGVhdS1waGlscG90dC1waWN0b3UtbWlsbC0xLjUwMzY5NzTSAQA
3	['Trudeau cancels Regina trip to head into private meetings amid SNC-Lavalin affair']	./articles/CAIiEAf5hFigiHaa5bxP4sWqAjoqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
4	['In Canadian history, there has rarely been a government meltdown like this']	./articles/CBMic2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9hcnRpY2xlLWluLWNhbmFkaWFuLWhpc3RvcnktaGFzLXRoZXJlLWV2ZXItYmVlbi1hLWdvdmVybm1lbnQtbWVsdGRvd24tbGlrZS_SAQA
5	"[""Quebec mother found guilty of second-degree murder in daughters\\' deaths""]"	./articles/CAIiEPN7UDRB2sBQnYzA3xBV1Z8qGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
6	['Quebec woman guilty of 2nd-degree murder of 2 daughters']	./articles/CAIiEObY3uAkDHuh1bEzaxwpQqQqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
7	"[""Quebec mother Adele Sorella found guilty of second-degree murder in daughters\\' deaths""]"	./articles/CBMibmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL25ld3NhbGVydC1xdWViZWMtbW90aGVyLWZvdW5kLWd1aWx0eS1vZi1zZWNvbmQtZGVncmVlLW11cmRlci1pbi1kYXVnaHRlcnMtZGVhdGhz0gG7AWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy9uZXdzYWxlcnQtcXVlYmVjLW1vdGhlci1mb3VuZC1ndWlsdHktb2Ytc2Vjb25kLWRlZ3JlZS1tdXJkZXItaW4tZGF1Z2h0ZXJzLWRlYXRocy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
8	['Update: Adele Sorella guilty of second-degree murder in deaths of daughters']	./articles/CBMiO2h0dHBzOi8vbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2FkZWxlLXNvcmVsbGEtbXVyZGVyLXRyaWFs0gGLAWh0dHBzOi8vbW9udHJlYWxnYXpldHRlLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL21vbnRyZWFsZ2F6ZXR0ZS5jb20vbmV3cy9hZGVsZS1zb3JlbGxhLW11cmRlci10cmlhbC9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
9	['Jury finds Adele Sorella guilty of second-degree murder in deaths of young daughters']	./articles/CBMiemh0dHBzOi8vbW9udHJlYWwuY3R2bmV3cy5jYS9qdXJ5LWZpbmRzLWFkZWxlLXNvcmVsbGEtZ3VpbHR5LW9mLXNlY29uZC1kZWdyZWUtbXVyZGVyLWluLWRlYXRocy1vZi15b3VuZy1kYXVnaHRlcnMtMS40MzIxODc30gGGAWh0dHBzOi8vYmV0YS1jdHZuZXdzLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvYmV0YS5jdHZuZXdzLmNhL2xvY2FsL21vbnRyZWFsLzIwMTkvMy80LzFfNDMyMTg3Ny5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
10	"[""At least 23 dead in Alabama after tornadoes ravage the southeast, causing \\'catastrophic\\' damage""]"	./articles/CBMikgFodHRwczovL25hdGlvbmFscG9zdC5jb20vbmV3cy93b3JsZC9hdC1sZWFzdC0yMy1kZWFkLWluLWFsYWJhbWEtYWZ0ZXItb25lLW9mLXRoZS13b3JzdC10b3JuYWRvZXMtcmF2YWdlLXRoZS1zb3V0aGVhc3QtY2F1c2luZy1jYXRhc3Ryb3BoaWMtZGFtYWdlc9IB3wFodHRwczovL25hdGlvbmFscG9zdC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb25hbHBvc3QuY29tL25ld3Mvd29ybGQvYXQtbGVhc3QtMjMtZGVhZC1pbi1hbGFiYW1hLWFmdGVyLW9uZS1vZi10aGUtd29yc3QtdG9ybmFkb2VzLXJhdmFnZS10aGUtc291dGhlYXN0LWNhdXNpbmctY2F0YXN0cm9waGljLWRhbWFnZXMvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
