	Headline	Link
0	<span>Jane Philpott resigns from Trudeau cabinet, cites SNC-Lavalin scandal as a factor</span>	./articles/CAIiEIzooKXzRQ1QWIbrWg9CCtYqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
1	<span>Justin Trudeau, imposter</span>	./articles/CAIiEMCGuqDpUfzi-ncDryMDv8oqGQgEKhAIACoHCAowkrSGCzDknoQDMLjklgY
2	<span>SNC-Lavalin: A failure of governance or a failure of journalism?</span>	./articles/CBMie2h0dHBzOi8vd3d3LnRoZXN0YXIuY29tL29waW5pb24vY29udHJpYnV0b3JzLzIwMTkvMDMvMDQvc25jLWxhdmFsaW4tYS1mYWlsdXJlLW9mLWdvdmVybmFuY2Utb3ItYS1mYWlsdXJlLW9mLWpvdXJuYWxpc20uaHRtbNIBxwFodHRwczovL3d3dy10aGVzdGFyLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVzdGFyLmNvbS9hbXAvb3Bpbmlvbi9jb250cmlidXRvcnMvMjAxOS8wMy8wNC9zbmMtbGF2YWxpbi1hLWZhaWx1cmUtb2YtZ292ZXJuYW5jZS1vci1hLWZhaWx1cmUtb2Ytam91cm5hbGlzbS5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
3	<span>Jane Philpott resigns from cabinet, citing loss of \'confidence\' over government\'s handling of SNC-Lavalin</span>	./articles/CAIiEIzE-KmjmIcOsNxWzs6Uz00qFggEKg4IACoGCAowqKNmMKjdCjCT1B0
4	<span>Look away. There’s no scandal here with SNC-Lavalin</span>	./articles/CBMiUWh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9hcnRpY2xlLWxvb2stYXdheS10aGVyZXMtbm8tc2NhbmRhbC1oZXJlL9IBpQFodHRwczovL3d3dy10aGVnbG9iZWFuZG1haWwtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vYW1wL29waW5pb24vYXJ0aWNsZS1sb29rLWF3YXktdGhlcmVzLW5vLXNjYW5kYWwtaGVyZS8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
5	<span>US House committees launch sweeping Trump inquiries</span>	./articles/CBMiVmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL3RydW1wLXByb2JlLWhvdXNlLWp1ZGljaWFyeS1yZXF1ZXN0cy1kb2N1bWVudHMtMS41MDQxOTg30gEA
6	<span>Dems expand Russia probe, say they’ll investigate “threats to the rule of law”</span>	./articles/CAIiEJJoqA7M374czYceZJHHWgIqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
7	<span>The Democrats are asking for documents on Trump\'s circle. Here are seven intriguing names on their list</span>	./articles/CBMidmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3dvcmxkL2hlcmUtYXJlLXNldmVuLWludHJpZ3VpbmctbmFtZXMtdGhhdC1kZWNrLXRoZS1saXN0LW9mLWRlbW9jcmF0cy1kb2N1bWVudHMtcmVxdWVzdHPSAcMBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3dvcmxkL2hlcmUtYXJlLXNldmVuLWludHJpZ3VpbmctbmFtZXMtdGhhdC1kZWNrLXRoZS1saXN0LW9mLWRlbW9jcmF0cy1kb2N1bWVudHMtcmVxdWVzdHMvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
8	<span>\'Impeachable\' and \'illegal\' aren\'t interchangeable</span>	./articles/CAIiEEAdmW-J--SFklH6ePsRjlgqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ
9	<span>U.S. House panel to request documents from Donald Trump Jr. in obstruction probe</span>	./articles/CBMiS2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL3RydW1wLWhvdXNlLXBhbmVsLXByb2JlLW9ic3RydWN0aW9uLTEuNTA0MDk0M9IBY2h0dHBzOi8vd3d3LWNiYy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jYmMuY2EvYW1wLzEuNTA0MDk0Mz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
10	<span>Fracking connection probed in 4.6-magnitude earthquake near Sylvan Lake</span>	./articles/CBMiVWh0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9sb2NhbC1uZXdzL3JlZC1kZWVyLWhpdC13aXRoLWVhcnRocXVha2UtbW9uZGF5LW1vcm5pbmfSAaMBaHR0cHM6Ly9jYWxnYXJ5aGVyYWxkLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2NhbGdhcnloZXJhbGQuY29tL25ld3MvbG9jYWwtbmV3cy9yZWQtZGVlci1oaXQtd2l0aC1lYXJ0aHF1YWtlLW1vbmRheS1tb3JuaW5nL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
11	<span>4.6 magnitude earthquake hits central Alberta near Red Deer</span>	./articles/CBMiU2h0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzUwMTg1MzUvZWFydGhxdWFrZS1jZW50cmFsLWFsYmVydGEtc3lsdmFuLWxha2UtcmVkLWRlZXIv0gGdAWh0dHBzOi8vZ2xvYmFsbmV3cy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2dsb2JhbG5ld3MuY2EvbmV3cy81MDE4NTM1L2VhcnRocXVha2UtY2VudHJhbC1hbGJlcnRhLXN5bHZhbi1sYWtlLXJlZC1kZWVyL2FtcC8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
12	<span>Largest earthquake on record shakes Red Deer, Sylvan Lake</span>	./articles/CBMiXmh0dHBzOi8vZWRtb250b24uY3R2bmV3cy5jYS9sYXJnZXN0LWVhcnRocXVha2Utb24tcmVjb3JkLXNoYWtlcy1yZWQtZGVlci1zeWx2YW4tbGFrZS0xLjQzMjExMjLSAYYBaHR0cHM6Ly9iZXRhLWN0dm5ld3MtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9iZXRhLmN0dm5ld3MuY2EvbG9jYWwvZWRtb250b24vMjAxOS8zLzQvMV80MzIxMTIyLmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
13	<span>\'A very short, sharp shock\': Earthquake rattles central Alberta</span>	./articles/CAIiEF1hBbzrAH6ml6A-BFPmBkMqFggEKg4IACoGCAowqKNmMKjdCjDGlx0
14	<span>UPDATE: Earthquake in Sylvan Lake area leads to blackout</span>	./articles/CBMiXmh0dHBzOi8vd3d3LnN5bHZhbmxha2VuZXdzLmNvbS9uZXdzL3Bvc3NpYmxlLWVhcnRocXVha2UtaW4tc3lsdmFuLWxha2UtYXJlYS1sZWFkcy10by1ibGFja291dC_SAbEBaHR0cHM6Ly93d3ctc3lsdmFubGFrZW5ld3MtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnN5bHZhbmxha2VuZXdzLmNvbS9uZXdzL3Bvc3NpYmxlLWVhcnRocXVha2UtaW4tc3lsdmFuLWxha2UtYXJlYS1sZWFkcy10by1ibGFja291dC9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
15	<span>China accuses detained Canadians of spying, days after Huawei extradition hearing approved</span>	./articles/CBMia2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vd29ybGQvYXJ0aWNsZS1jaGluYS1hY2N1c2VzLWRldGFpbmVkLWNhbmFkaWFucy1vZi1zcHlpbmctZGF5cy1hZnRlci1odWF3ZWkv0gG_AWh0dHBzOi8vd3d3LXRoZWdsb2JlYW5kbWFpbC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cudGhlZ2xvYmVhbmRtYWlsLmNvbS9hbXAvd29ybGQvYXJ0aWNsZS1jaGluYS1hY2N1c2VzLWRldGFpbmVkLWNhbmFkaWFucy1vZi1zcHlpbmctZGF5cy1hZnRlci1odWF3ZWkvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
16	<span>Meng Wanzhou files civil claim against CBSA, RCMP and federal government</span>	./articles/CAIiEP0ykpm7skqzlSz61eBV8A8qFggEKg4IACoGCAowqKNmMKjdCjDGlx0
17	<span>China accuses U.S. of \'double standard\' over Huawei claims</span>	./articles/CAIiECA9EnvdIQJvHzM_bRchIhwqGQgEKhAIACoHCAow6f-ICzDjj4gDMIGJnwY
18	<span>Timing, trust and tensions explain Meng’s arrest in Canada on her way to Mexico, say analysts</span>	./articles/CAIiEHt8gAxrEy1LEw_Qm5FUl3oqFwgEKg4IACoGCAow6bV4MPfJDDDB1MUF
19	<span>China alleges Kovrig, Spavor are spies</span>	./articles/CAIiEPErLr2XfdLpxPEIs6XLeh0qFwgEKg4IACoGCAowqKNmMKjdCjCwqYMG
20	<span>Ford government fires OPP deputy Brad Blair, critic of Taverner appointment</span>	./articles/CAIiEJIkgySRLdy2fuWvZefEEpoqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
21	<span>BREAKING: OPP Deputy Commish fired!</span>	./articles/CBMiSGh0dHBzOi8vdG9yb250b3N1bi5jb20vbmV3cy9wcm92aW5jaWFsL2JyZWFraW5nLW9wcC1kZXB1dHktY29tbWlzaC1maXJlZNIBkwFodHRwczovL3Rvcm9udG9zdW4tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvdG9yb250b3N1bi5jb20vbmV3cy9wcm92aW5jaWFsL2JyZWFraW5nLW9wcC1kZXB1dHktY29tbWlzaC1maXJlZC9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
22	<span>Brad Blair, who questioned appointment of Ron Taverner, fired as OPP deputy commissioner</span>	./articles/CAIiEI0vS1CaJnNx-2-XD4lCaFQqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
23	<span>Firing of deputy OPP commissioner sure looks like a political decision</span>	./articles/CBMihgFodHRwczovL3d3dy50aGVzdGFyLmNvbS9vcGluaW9uL3N0YXItY29sdW1uaXN0cy8yMDE5LzAzLzA0L2ZpcmluZy1vZi1kZXB1dHktb3BwLWNvbW1pc3Npb25lci1zdXJlLWxvb2tzLWxpa2UtYS1wb2xpdGljYWwtZGVjaXNpb24uaHRtbNIB0gFodHRwczovL3d3dy10aGVzdGFyLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVzdGFyLmNvbS9hbXAvb3Bpbmlvbi9zdGFyLWNvbHVtbmlzdHMvMjAxOS8wMy8wNC9maXJpbmctb2YtZGVwdXR5LW9wcC1jb21taXNzaW9uZXItc3VyZS1sb29rcy1saWtlLWEtcG9saXRpY2FsLWRlY2lzaW9uLmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
24	<span>Ford government fires OPP deputy challenging Taverner hire</span>	./articles/CBMiamh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vY2FuYWRhL2FydGljbGUtZm9yZC1nb3Zlcm5tZW50LWZpcmVzLW9wcC1kZXB1dHktY2hhbGxlbmdpbmctdGF2ZXJuZXItaGlyZS_SAb4BaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9jYW5hZGEvYXJ0aWNsZS1mb3JkLWdvdmVybm1lbnQtZmlyZXMtb3BwLWRlcHV0eS1jaGFsbGVuZ2luZy10YXZlcm5lci1oaXJlLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
25	<span>Winnipeg teen killed by random attacker in brutal West End home invasion</span>	./articles/CAIiEL2Cd1_ypgYORtxIn4MYr74qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
26	<span>Teen dies after home invasion, suspect shot by police</span>	./articles/CBMiW2h0dHBzOi8vd2lubmlwZWdzdW4uY29tL25ld3MvbmV3cy1uZXdzL3RlZW4tZGllcy1hZnRlci1ob21lLWludmFzaW9uLXN1c3BlY3Qtc2hvdC1ieS1wb2xpY2XSAacBaHR0cHM6Ly93aW5uaXBlZ3N1bi1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93aW5uaXBlZ3N1bi5jb20vbmV3cy9uZXdzLW5ld3MvdGVlbi1kaWVzLWFmdGVyLWhvbWUtaW52YXNpb24tc3VzcGVjdC1zaG90LWJ5LXBvbGljZS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
