	Headline	Link
0	['Trudeau considering a statement of contrition over SNC-Lavalin']	./articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjDO3RQ
1	['SNC-Lavalin: Did Justin Trudeau break the law?']	./articles/CBMiT2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHTSAZwBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHQvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
2	"[""John Ivison: Liberals are disappointed in a leader \\'found wanting\\' but Trudeau still has a way out of crisis""]"	./articles/CBMilgFodHRwczovL25hdGlvbmFscG9zdC5jb20vb3Bpbmlvbi9qb2huLWl2aXNvbi10cnVkZWF1cy1saWJlcmFscy1hcmUtZGlzYXBwb2ludGVkLWluLWEtbGVhZGVyLWZvdW5kLXdhbnRpbmctYnV0LWhlcy1zdGlsbC10aGVpci1iZXN0LXNob3QtYXQtcmUtZWxlY3Rpb27SAQA
3	['Trudeau cancels Regina trip to head into private meetings amid SNC-Lavalin affair']	./articles/CAIiEAf5hFigiHaa5bxP4sWqAjoqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
4	['Why does Trudeau seem to be always caught off guard?']	./articles/CBMidmh0dHBzOi8vd3d3LnRoZXN0YXIuY29tL3BvbGl0aWNzL3BvbGl0aWNhbC1vcGluaW9uLzIwMTkvMDMvMDUvd2h5LWRvZXMtdHJ1ZGVhdS1zZWVtLXRvLWJlLWFsd2F5cy1jYXVnaHQtb2ZmLWd1YXJkLmh0bWzSAcIBaHR0cHM6Ly93d3ctdGhlc3Rhci1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cudGhlc3Rhci5jb20vYW1wL3BvbGl0aWNzL3BvbGl0aWNhbC1vcGluaW9uLzIwMTkvMDMvMDUvd2h5LWRvZXMtdHJ1ZGVhdS1zZWVtLXRvLWJlLWFsd2F5cy1jYXVnaHQtb2ZmLWd1YXJkLmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
5	['Barack Obama speaks to Calgary crowd']	./articles/CBMiU2h0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9sb2NhbC1uZXdzL2xpdmUtYmFyYWNrLW9iYW1hLXNwZWFrcy10by1jYWxnYXJ5LWNyb3dk0gGhAWh0dHBzOi8vY2FsZ2FyeWhlcmFsZC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9jYWxnYXJ5aGVyYWxkLmNvbS9uZXdzL2xvY2FsLW5ld3MvbGl2ZS1iYXJhY2stb2JhbWEtc3BlYWtzLXRvLWNhbGdhcnktY3Jvd2QvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
6	"[""At least 23 dead in Alabama after tornadoes ravage the southeast causing \\'catastrophic\\' damage""]"	./articles/CBMikgFodHRwczovL25hdGlvbmFscG9zdC5jb20vbmV3cy93b3JsZC9hdC1sZWFzdC0yMy1kZWFkLWluLWFsYWJhbWEtYWZ0ZXItb25lLW9mLXRoZS13b3JzdC10b3JuYWRvZXMtcmF2YWdlLXRoZS1zb3V0aGVhc3QtY2F1c2luZy1jYXRhc3Ryb3BoaWMtZGFtYWdlc9IB3wFodHRwczovL25hdGlvbmFscG9zdC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb25hbHBvc3QuY29tL25ld3Mvd29ybGQvYXQtbGVhc3QtMjMtZGVhZC1pbi1hbGFiYW1hLWFmdGVyLW9uZS1vZi10aGUtd29yc3QtdG9ybmFkb2VzLXJhdmFnZS10aGUtc291dGhlYXN0LWNhdXNpbmctY2F0YXN0cm9waGljLWRhbWFnZXMvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
7	['OPP veteran says firing by Ford government is ‘reprisal’ for Taverner lawsuit']	./articles/CBMic2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vY2FuYWRhL2FydGljbGUtb3BwLXZldGVyYW4tc2F5cy1maXJpbmctYnktZm9yZC1nb3Zlcm5tZW50LWlzLXJlcHJpc2FsLWZvci10YXZlcm5lci_SAccBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9jYW5hZGEvYXJ0aWNsZS1vcHAtdmV0ZXJhbi1zYXlzLWZpcmluZy1ieS1mb3JkLWdvdmVybm1lbnQtaXMtcmVwcmlzYWwtZm9yLXRhdmVybmVyLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
8	['Toronto police say 4 children who went missing after movies have been located']	./articles/CAIiEBjdkpnNmFEpWOcTW-Z1LrEqGQgEKhAIACoHCAowqeP_CjDdg_oCMMXh6QU
9	['Police searching for four missing youths in Scarborough']	./articles/CBMiW2h0dHBzOi8vd3d3LmNwMjQuY29tL25ld3MvcG9saWNlLXNlYXJjaGluZy1mb3ItZm91ci1taXNzaW5nLXlvdXRocy1pbi1zY2FyYm9yb3VnaC0xLjQzMjMxMjfSAXhodHRwczovL2JldGEtY3AyNC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9iZXRhLmNwMjQuY29tL25ld3MvMjAxOS8zLzUvMV80MzIzMTI3Lmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
