	Headline	Link
0	['Liberal support erodes in 2 key demographics as SNC-Lavalin affair grinds on']	./articles/CBMiZGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3RoZW5hdGlvbmFsL25hdGlvbmFsLXRvZGF5LW5ld3NsZXR0ZXItdHJ1ZGVhdS1waGlscG90dC1waWN0b3UtbWlsbC0xLjUwMzY5NzTSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwMzY5NzQ_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
1	['SNC-Lavalin: Did Justin Trudeau break the law?']	./articles/CBMiT2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHTSAZwBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS9sYXZzY2FtLWpvZHktd2lsc29uLXJheWJvdWxkLWphbmUtcGhpbHBvdHQvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
2	['Trudeau considering a statement of contrition over SNC-Lavalin']	./articles/CAIiEE2Lrl6xJmpsxNHJAVVZoLwqFggEKg4IACoGCAowqKNmMKjdCjDO3RQ
3	['Trudeau cancels Regina trip to head into private meetings amid SNC-Lavalin affair']	./articles/CAIiEAf5hFigiHaa5bxP4sWqAjoqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
4	"[""LILLEY: Trudeau\\'s security wanted rally shut down over protesters""]"	./articles/CBMiaWh0dHBzOi8vdG9yb250b3N1bi5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2xpbGxleS10cnVkZWF1cy1zZWN1cml0eS13YW50ZWQtcmFsbHktc2h1dC1kb3duLW92ZXItcHJvdGVzdGVyc9IBtAFodHRwczovL3Rvcm9udG9zdW4tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvdG9yb250b3N1bi5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2xpbGxleS10cnVkZWF1cy1zZWN1cml0eS13YW50ZWQtcmFsbHktc2h1dC1kb3duLW92ZXItcHJvdGVzdGVycy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
5	['Barack Obama speaks to Calgary crowd']	./articles/CBMiU2h0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vbmV3cy9sb2NhbC1uZXdzL2xpdmUtYmFyYWNrLW9iYW1hLXNwZWFrcy10by1jYWxnYXJ5LWNyb3dk0gGhAWh0dHBzOi8vY2FsZ2FyeWhlcmFsZC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9jYWxnYXJ5aGVyYWxkLmNvbS9uZXdzL2xvY2FsLW5ld3MvbGl2ZS1iYXJhY2stb2JhbWEtc3BlYWtzLXRvLWNhbGdhcnktY3Jvd2QvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
6	['Barack Obama speaks to full house in Winnipeg, leaves fans inspired']	./articles/CAIiEAVKuESDVzrL6Y9sCiCR660qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU
7	['Barack Obama speaks to Calgarians']	./articles/CBMiTGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2JhcmFjay1vYmFtYS1jYWxnYXJ5LXNwZWVjaC0xLjUwNDM1MTnSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDM1MTk_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
8	"[""Obama questions America\\'s ability to stave off crisis in otherwise cheery, laid back speech to Winnipeg crowd""]"	./articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tYW5pdG9iYS9iYXJhY2stb2JhbWEtc3BlZWNoLXdpbm5pcGVnLTEuNTA0Mjg3ONIBY2h0dHBzOi8vd3d3LWNiYy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jYmMuY2EvYW1wLzEuNTA0Mjg3OD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
9	['Breakenridge: What might have been if Obama had approved Keystone XL']	./articles/CBMicGh0dHBzOi8vY2FsZ2FyeWhlcmFsZC5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2JyZWFrZW5yaWRnZS13aGF0LW1pZ2h0LWhhdmUtYmVlbi1pZi1vYmFtYS1oYWQtYXBwcm92ZWQta2V5c3RvbmUteGzSAb4BaHR0cHM6Ly9jYWxnYXJ5aGVyYWxkLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2NhbGdhcnloZXJhbGQuY29tL29waW5pb24vY29sdW1uaXN0cy9icmVha2VucmlkZ2Utd2hhdC1taWdodC1oYXZlLWJlZW4taWYtb2JhbWEtaGFkLWFwcHJvdmVkLWtleXN0b25lLXhsL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
10	['OPP veteran says firing by Ford government is ‘reprisal’ for Taverner lawsuit']	./articles/CBMic2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vY2FuYWRhL2FydGljbGUtb3BwLXZldGVyYW4tc2F5cy1maXJpbmctYnktZm9yZC1nb3Zlcm5tZW50LWlzLXJlcHJpc2FsLWZvci10YXZlcm5lci_SAccBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9jYW5hZGEvYXJ0aWNsZS1vcHAtdmV0ZXJhbi1zYXlzLWZpcmluZy1ieS1mb3JkLWdvdmVybm1lbnQtaXMtcmVwcmlzYWwtZm9yLXRhdmVybmVyLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ
11	['China arrests its chief of submarine research because he ‘obtained Canadian nationality’']	./articles/CBMigAFodHRwczovL25hdGlvbmFscG9zdC5jb20vbmV3cy9jYW5hZGEvY2hpbmVzZS1zdWJtYXJpbmUtcmVzZWFyY2gtY2hpZWYtYXJyZXN0ZWQtYWNjdXNlZC1vZi1pbGxlZ2FsbHktaG9sZGluZy1jYW5hZGlhbi1jaXRpemVuc2hpcNIBzQFodHRwczovL25hdGlvbmFscG9zdC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb25hbHBvc3QuY29tL25ld3MvY2FuYWRhL2NoaW5lc2Utc3VibWFyaW5lLXJlc2VhcmNoLWNoaWVmLWFycmVzdGVkLWFjY3VzZWQtb2YtaWxsZWdhbGx5LWhvbGRpbmctY2FuYWRpYW4tY2l0aXplbnNoaXAvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
12	"[""Quebec mother found guilty of second-degree murder in daughters\\' deaths""]"	./articles/CAIiEPN7UDRB2sBQnYzA3xBV1Z8qGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
13	['Quebec woman guilty of 2nd-degree murder of 2 daughters']	./articles/CAIiEObY3uAkDHuh1bEzaxwpQqQqFggEKg4IACoGCAowqKNmMKjdCjCT1B0
14	"[""Quebec mother Adele Sorella found guilty of second-degree murder in daughters\\' deaths""]"	./articles/CBMibmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL25ld3NhbGVydC1xdWViZWMtbW90aGVyLWZvdW5kLWd1aWx0eS1vZi1zZWNvbmQtZGVncmVlLW11cmRlci1pbi1kYXVnaHRlcnMtZGVhdGhz0gG7AWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy9uZXdzYWxlcnQtcXVlYmVjLW1vdGhlci1mb3VuZC1ndWlsdHktb2Ytc2Vjb25kLWRlZ3JlZS1tdXJkZXItaW4tZGF1Z2h0ZXJzLWRlYXRocy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
15	['Jury finds Adele Sorella guilty of second-degree murder in deaths of young daughters']	./articles/CBMiemh0dHBzOi8vbW9udHJlYWwuY3R2bmV3cy5jYS9qdXJ5LWZpbmRzLWFkZWxlLXNvcmVsbGEtZ3VpbHR5LW9mLXNlY29uZC1kZWdyZWUtbXVyZGVyLWluLWRlYXRocy1vZi15b3VuZy1kYXVnaHRlcnMtMS40MzIxODc30gGGAWh0dHBzOi8vYmV0YS1jdHZuZXdzLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvYmV0YS5jdHZuZXdzLmNhL2xvY2FsL21vbnRyZWFsLzIwMTkvMy80LzFfNDMyMTg3Ny5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
16	['Update: Adele Sorella guilty of second-degree murder in deaths of daughters']	./articles/CBMiO2h0dHBzOi8vbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2FkZWxlLXNvcmVsbGEtbXVyZGVyLXRyaWFs0gGLAWh0dHBzOi8vbW9udHJlYWxnYXpldHRlLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL21vbnRyZWFsZ2F6ZXR0ZS5jb20vbmV3cy9hZGVsZS1zb3JlbGxhLW11cmRlci10cmlhbC9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
17	['Toronto police say 4 children who went missing after movies have been located']	./articles/CAIiEBjdkpnNmFEpWOcTW-Z1LrEqGQgEKhAIACoHCAowqeP_CjDdg_oCMMXh6QU
18	['4 children reported missing in Toronto found']	./articles/CAIiEFu46FQ8hBuV40cE05SAn2YqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
