,Headline,Link
11,"[""Former senior OPP officer alleges \\'reprisal\\' reason he was fired""]",['https://news.google.com/articles/CBMic2h0dHBzOi8vdG9yb250b3N1bi5jb20vbmV3cy9wcm92aW5jaWFsL2ZpcmVkLW9wcC1zZW5pb3Itb2ZmaWNlci1hbGxlZ2VzLXJlcHJpc2FsLWZvci1jb25jZXJucy1hYm91dC1mb3JkLWZyaWVuZC1qb2LSAb4BaHR0cHM6Ly90b3JvbnRvc3VuLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3Rvcm9udG9zdW4uY29tL25ld3MvcHJvdmluY2lhbC9maXJlZC1vcHAtc2VuaW9yLW9mZmljZXItYWxsZWdlcy1yZXByaXNhbC1mb3ItY29uY2VybnMtYWJvdXQtZm9yZC1mcmllbmQtam9iL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
12,['Politics not a factor in Brad Blair firing: Jones'],['https://news.google.com/articles/CBMiV2h0dHBzOi8vdG9yb250b3N1bi5jb20vbmV3cy9sb2NhbC1uZXdzL3BvbGl0aWNzLW5vdC1hLWZhY3Rvci1pbi1icmFkLWJsYWlyLWZpcmluZy1qb25lc9IBogFodHRwczovL3Rvcm9udG9zdW4tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvdG9yb250b3N1bi5jb20vbmV3cy9sb2NhbC1uZXdzL3BvbGl0aWNzLW5vdC1hLWZhY3Rvci1pbi1icmFkLWJsYWlyLWZpcmluZy1qb25lcy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU']
13,"[""Fired OPP deputy alleges reprisal for speaking against Doug Ford friend\\'s appointment to force""]",['https://news.google.com/articles/CBMijwFodHRwczovL3d3dy5jYmMuY2EvbmV3cy9jYW5hZGEvdG9yb250by9maXJlZC1vcHAtZGVwdXR5LWFsbGVnZXMtcmVwcmlzYWwtZm9yLXNwZWFraW5nLWFnYWluc3QtZG91Zy1mb3JkLWZyaWVuZC1zLWFwcG9pbnRtZW50LXRvLWZvcmNlLTEuNTA0MzQzNNIBY2h0dHBzOi8vd3d3LWNiYy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jYmMuY2EvYW1wLzEuNTA0MzQzND9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
14,['Is there something rotten in the OPP?'],['https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9hcnRpY2xlLWlzLXRoZXJlLXNvbWV0aGluZy1yb3R0ZW4taW4tdGhlLW9wcC_SAakBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9vcGluaW9uL2FydGljbGUtaXMtdGhlcmUtc29tZXRoaW5nLXJvdHRlbi1pbi10aGUtb3BwLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
15,"[""Jane Philpott Resignation Leaves Some Liberal MPs \\'Sad\\' But Not Surprised""]",['https://news.google.com/articles/CAIiEPCoYDXbk87deYLEVKIK-2gqFwgEKg8IACoHCAow1qfAAjCkrz8w8NBI']
16,['Most Canadians side with Wilson-Raybould believe Trudeau has lost moral authority to govern: Ipsos poll'],['https://news.google.com/articles/CAIiEMwepAl6V_PHB5F9dN2GoE0qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU']
17,"[""Kelly McParland: Justin Trudeau wanted strong women. He sure got \\'em""]",['https://news.google.com/articles/CBMiYmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL2tlbGx5LW1jcGFybGFuZC1qdXN0aW4tdHJ1ZGVhdS13YW50ZWQtc3Ryb25nLXdvbWVuLWhlLXN1cmUtZ290LWVt0gGvAWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vb3Bpbmlvbi9rZWxseS1tY3BhcmxhbmQtanVzdGluLXRydWRlYXUtd2FudGVkLXN0cm9uZy13b21lbi1oZS1zdXJlLWdvdC1lbS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU']
18,"[""High-profile resignations a \\'blow\\' to PM beset by questions about SNC-Lavalin""]",['https://news.google.com/articles/CAIiEIAQQDCdNCu3V4CUDUheAmoqFggEKg4IACoGCAowqKNmMKjdCjCT1B0']
19,['Rex Murphy: Drop the poses Trudeau. You owe this country a real explanation'],['https://news.google.com/articles/CBMiamh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL3JleC1tdXJwaHktZHJvcC10aGUtcG9zZXMtdHJ1ZGVhdS15b3Utb3dlLXRoaXMtY291bnRyeS1hLXJlYWwtZXhwbGFuYXRpb27SAbcBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL3JleC1tdXJwaHktZHJvcC10aGUtcG9zZXMtdHJ1ZGVhdS15b3Utb3dlLXRoaXMtY291bnRyeS1hLXJlYWwtZXhwbGFuYXRpb24vYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl']
20,['Trudeau hunkers down in Ottawa after second minister resigns over SNC-Lavalin'],['https://news.google.com/articles/CAIiENkUwt0nDJ3yixBTrOGrtNIqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY']
21,['Trudeau cancels Regina trip to head into private meetings amid SNC-Lavalin affair'],['https://news.google.com/articles/CAIiEAf5hFigiHaa5bxP4sWqAjoqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU']
22,['Prime Minister Justin Trudeau cancels visit to Regina'],['https://news.google.com/articles/CBMiWWh0dHBzOi8vcmVnaW5hLmN0dm5ld3MuY2EvcHJpbWUtbWluaXN0ZXItanVzdGluLXRydWRlYXUtY2FuY2Vscy12aXNpdC10by1yZWdpbmEtMS40MzIyNzA40gGEAWh0dHBzOi8vYmV0YS1jdHZuZXdzLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvYmV0YS5jdHZuZXdzLmNhL2xvY2FsL3JlZ2luYS8yMDE5LzMvNS8xXzQzMjI3MDguaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ']
23,['Quebec woman guilty of 2nd-degree murder of 2 daughters'],['https://news.google.com/articles/CAIiEObY3uAkDHuh1bEzaxwpQqQqFggEKg4IACoGCAowqKNmMKjdCjCT1B0']
24,"[""Quebec mother found guilty of second-degree murder in daughters\\' deaths""]",['https://news.google.com/articles/CAIiEPN7UDRB2sBQnYzA3xBV1Z8qGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY']
